Current Path,Current Filename,Proposed Path,Proposed Filename,Page Using Image,Uses Count,Section,Subfolder,Cross-Section?,Is CDN?,WebP Candidate?,Status
/adarimages/residency/IMG_0740.jpeg,IMG_0740.jpeg,images/venues/img-0740.jpeg,img-0740.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_0755.jpeg,IMG_0755.jpeg,images/venues/img-0755.jpeg,img-0755.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_20250717_133525.jpg,IMG_20250717_133525.jpg,images/venues/img-20250717-133525.jpg,img-20250717-133525.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_20250717_164603.jpg,IMG_20250717_164603.jpg,images/venues/img-20250717-164603.jpg,img-20250717-164603.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_20250717_164637.jpg,IMG_20250717_164637.jpg,images/venues/img-20250717-164637.jpg,img-20250717-164637.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_20250804_155951.jpg,IMG_20250804_155951.jpg,images/venues/img-20250804-155951.jpg,img-20250804-155951.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_20250804_160019.jpg,IMG_20250804_160019.jpg,images/venues/img-20250804-160019.jpg,img-20250804-160019.jpg,src/content/pages/en/headquarters.md,1,venues,,no,yes,yes,pending
/adarimages/residency/IMG_2788.jpeg,IMG_2788.jpeg,images/venues/img-2788.jpeg,img-2788.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_2808.jpeg,IMG_2808.jpeg,images/venues/img-2808.jpeg,img-2808.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_2938.jpeg,IMG_2938.jpeg,images/venues/img-2938.jpeg,img-2938.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
